brand,ig_temple,ig_machine,ig_temple_rationale,ig_machine_rationale,Company,Meta,Sub,Locations,Instagram,posts,followers,Franchise,Virtual_Fitness_Service,In_Person_Fitness_Service,Equipment/Apparel,Notes
cubii,2,8,"There is minimal emphasis on holistic wellness or the body as sacred. While the brand mentions 'healthier habits' and 'wellness,' the imagery and messaging are more focused on product features and usage rather than harmony or balance.","The page heavily features product images, performance claims, and optimization language (e.g., 'take control,' 'levels of passive vibration,' 'ergonomic,' 'portable'). The body is represented as something to be improved and optimized through technology, aligning with a machine-oriented perspective.",Cubii,0,equipment,NA,https://www.instagram.com/cubii/,554,6499,NA,1,0,1,NA
future,2,9,"The imagery and messaging focus primarily on physical training, performance, and personal trainers, with little emphasis on holistic wellness, balance, or the sacredness of the body. There is some minor presence of positivity and enjoyment, but the overall tone is not centered on harmony or holistic health.","The content is highly performance-oriented, showcasing individuals engaged in intense workouts, using equipment, and being coached by trainers. The emphasis is on optimization, results, and physical capability, aligning closely with the 'body as machine' perspective.",Future,0,virtual,NA,https://www.instagram.com/futurefitapp/,571,31000,NA,1,0,0,NA
echelon,4,7,"There are some elements of holistic wellness and balance, such as yoga, meditation, and relaxation imagery (e.g., a person meditating, someone in a hot tub), but these are not the dominant themes. The overall vibe includes some nods to harmony and self-care.","The majority of the imagery and messaging focuses on performance, challenge, and results (e.g., cycling, running, dual stride alerts, and motivational language like 'Come on. You got it.'). The emphasis is on activity, optimization, and pushing limits, which aligns with a machine-oriented view of the body.",echelon fit,49,virtual,NA,https://www.instagram.com/echelon.fit/,1371,60500,NA,1,0,0,NA
tempo,5,7,"There are elements of holistic and balanced messaging, such as 'Gratitude isn’t seasonal' and ambassador spotlights that suggest a focus on well-being and personal journeys. However, these are balanced with more performance-oriented content.","The page features strong performance and optimization themes, such as 'Build to Run,' weightlifting imagery, and references to strength and training plans. The brand messaging emphasizes adaptability, training, and results, aligning with a machine-like orientation.",Tempo,43,virtual,NA,https://www.instagram.com/tempo/,599,97000,NA,1,0,1,NA
daily,2,8,"There is minimal emphasis on holistic or sacred aspects of the body. The content is focused on workouts, schedules, and testimonials, with little reference to balance, harmony, or wellness beyond physical fitness.","The messaging and imagery are highly performance-oriented, emphasizing optimization, results, and structured workout routines. Phrases like 'Stronger for Longer' and the focus on specific training programs and HIIT sessions present the body as something to be trained and improved, aligning with a machine-like representation.",daily burn,5,virtual,NA,https://www.instagram.com/dailyburn/,3298,135000,NA,1,0,0,NA
obe,5,7,"There are references to wellness, balance, and holistic health (e.g., 'wellness moves,' 'healthy treats,' and 'no extremes required'), suggesting some emphasis on the body as something to be cared for and kept in harmony. However, this is balanced with a strong focus on performance and optimization.","The messaging and imagery frequently highlight optimization, performance, and results (e.g., '7 day fix,' 'stop hip thrusting your gains away,' 'move of the week,' and 'personalized fitness'). The language and visuals emphasize efficiency, improvement, and targeted results, aligning with a machine-like orientation.",obe fitness,18,virtual,NA,https://www.instagram.com/obe_fitness/,2249,231000,NA,1,0,0,for women
tonal,4,8,"There are some references to holistic well-being, balance, and mobility (e.g., Pilates, 'greater mobility, balance, and strength'), but these are secondary to the main focus. The overall aesthetic is modern and clean, with some nods to harmony, but the sacred or deeply holistic aspect is not dominant.","The messaging and imagery emphasize performance, optimization, and results (e.g., 'ultimate strength training system,' 'Power,' 'The Gauntlet,' and high-tech equipment). The focus is on measurable progress, efficiency, and maximizing output, which aligns strongly with the machine orientation.",Tonal,180,equipment,NA,https://www.instagram.com/tonal/,1067,302000,NA,1,0,1,NA
les,3,8,"There are some elements of community, enjoyment, and group activity that could suggest a holistic or balanced approach, but the overall focus is not on sacredness or harmony. The imagery is more about action and performance than about treating the body as a temple.","The majority of the imagery and messaging centers on physical training, lifting weights, and performance. The emphasis is on strength, results, and optimization, which aligns closely with the 'machine' dimension. The brand presents the body as something to be trained, pushed, and improved.",Les Mills,74,virtual,NA,https://www.instagram.com/lesmills/,2330,652000,NA,1,0,0,partnered with adidas
fiton,6,7,"Several images and captions (e.g., people meditating, calm poses, and motivational messages) suggest a holistic and balanced approach to fitness, emphasizing well-being and inner strength. The presence of yoga and meditation imagery supports a 'body as temple' orientation.","There is a strong focus on performance, challenges, and physical activity (e.g., workout challenges, weightlifting, dynamic exercises), which aligns with a 'body as machine' perspective. The messaging and imagery highlight optimization, strength, and results-driven fitness.",FitOn,0,virtual,NA,https://www.instagram.com/fitonapp/,3267,822000,NA,1,0,0,no consumer facing ads
sweat,4,8,"There are some elements of holistic wellness, community, and enjoyment (e.g., group photos, references to 'love language,' and smiling, relaxed participants), but the overall focus is not strongly on balance, harmony, or sacredness.","The majority of the imagery and messaging centers on performance, optimization, and results (e.g., workout routines, mobility, gym tips, and progress), with a clear emphasis on the body as something to be trained and improved.",sweat,NA,virtual,NA,https://www.instagram.com/sweat/,4806,1000000,NA,1,0,0,cant find meta page
bodi,6,7,"The messaging includes phrases like 'LOVE YOUR BODi' and 'SUPPORTS YOU STEP-BY-STEP,' which suggest a holistic and supportive approach. Smiling, diverse people and references to community and nutrition also indicate a balanced, positive view of the body.","There is a strong emphasis on results, performance, and optimization, such as 'BODi GETS YOU RESULTS,' 'Fitness. Nutrition. Results.,' and imagery of athletic movement and strength. The focus on programs, supplements, and expert trainers further supports a machine-like, performance-driven orientation.",BODi,74,virtual,NA,https://www.instagram.com/bodi/,1951,1100000,NA,1,0,0,NA
peloton,4,8,"There are some elements of holistic wellness and community, such as group photos, smiling faces, and references to stretching and balance (e.g., 'Lower Back Stretches'). However, these are not the dominant themes, and the overall focus is not strongly on the body as sacred or in harmony.","The imagery and messaging are heavily performance-oriented, with a focus on equipment, training series, and individuals in athletic poses or mid-workout. The emphasis is on optimization, results, and the body as something to be trained and improved, aligning closely with the 'machine' dimension.",peloton,58,virtual,NA,https://www.instagram.com/onepeloton/,5545,1900000,NA,1,0,1,NA
myyoga,7,4,"The page emphasizes yoga, holistic well-being, and balance, with imagery of meditative poses and messaging about yoga for every body. The use of calm colors, references to Indian yoga teachers, and the focus on flexibility and strength through yoga suggest a sacred, harmonious approach to the body. However, there is also a practical and accessible tone, so it is not fully dominant.","There are some elements of performance and optimization, such as references to strength, flexibility, and 1-on-1 coaching, but these are secondary to the holistic and inclusive messaging. The focus is more on personal growth and well-being than on purely mechanical or result-driven outcomes.",MyYoga Teacher,64,virtual,NA,https://www.instagram.com/myyogateacher/,1084,18000,NA,1,0,0,NA
yogaworks,9,3,"The imagery and messaging emphasize holistic well-being, inner journey, balance, and self-discovery, with quotes about yoga as a journey of the self and controlling the inner world. The visual tone is calm and reflective, aligning with the 'temple' dimension.","There are some references to workout schedules and routines, which suggest a mild focus on performance and optimization, but these are secondary to the dominant holistic and mindful messaging.",yoga works,0,virtual,NA,https://www.instagram.com/yogaworks/,3548,101000,NA,1,0,0,NA
